Date,SPY.US
2015-10-02,165.723
2015-10-05,168.672
2015-10-06,168.0941
2015-10-07,169.4709
2015-10-08,171.0007
2015-10-09,171.1026
2015-10-12,171.2641
2015-10-13,170.1848
2015-10-14,169.3689
2015-10-15,171.9695
2015-10-16,172.7514
2015-10-19,172.8364
2015-10-20,172.6154
2015-10-21,171.5446
2015-10-22,174.4426
2015-10-23,176.3548
2015-10-26,175.9214
2015-10-27,175.5814
2015-10-28,177.5786
2015-10-29,177.4766
2015-10-30,176.7117
2015-11-02,178.8024
2015-11-03,179.3208
2015-11-04,178.7769
2015-11-05,178.5984
2015-11-06,178.5049
2015-11-09,176.8392
2015-11-10,177.2471
2015-11-11,176.5503
2015-11-12,174.0857
2015-11-13,172.131
2015-11-16,174.7485
2015-11-17,174.6211
2015-11-18,177.3916
2015-11-19,177.2386
2015-11-20,177.8845
2015-11-23,177.6806
2015-11-24,177.9185
2015-11-25,177.893
2015-11-27,178.097
2015-11-30,177.3576
2015-12-01,179.0488
2015-12-02,177.2216
2015-12-03,174.74
2015-12-04,178.148
2015-12-07,177.0687
2015-12-08,175.8789
2015-12-09,174.5106
2015-12-10,174.961
2015-12-11,171.5701
2015-12-14,172.4369
2015-12-15,174.2471
2015-12-16,176.7967
2015-12-17,174.1027
2015-12-18,171.001
2015-12-21,172.4116
2015-12-22,173.9761
2015-12-23,176.1305
2015-12-24,175.8398
2015-12-28,175.438
2015-12-29,177.3103
2015-12-30,176.0536
2015-12-31,174.2924
2016-01-04,171.8559
2016-01-05,172.1466
2016-01-06,169.9751
2016-01-07,165.8971
2016-01-08,164.0762
2016-01-11,164.2386
2016-01-12,165.5637
2016-01-13,161.4345
2016-01-14,164.0847
2016-01-15,160.5624
2016-01-19,160.7762
2016-01-20,158.7158
2016-01-21,159.6049
2016-01-22,162.8793
2016-01-25,160.4171
2016-01-26,162.6057
2016-01-27,160.836
2016-01-28,161.6738
2016-01-29,165.615
2016-02-01,165.5552
2016-02-02,162.5715
2016-02-03,163.5461
2016-02-04,163.8026
2016-02-05,160.6821
2016-02-08,158.5192
2016-02-09,158.5277
2016-02-10,158.3909
2016-02-11,156.3306
2016-02-12,159.5536
2016-02-16,162.2466
2016-02-17,164.8969
2016-02-18,164.2215
2016-02-19,164.1445
2016-02-22,166.5212
2016-02-23,164.4181
2016-02-24,165.1705
2016-02-25,167.171
2016-02-26,166.7862
2016-02-29,165.4782
2016-03-01,169.3681
2016-03-02,170.129
2016-03-03,170.7958
2016-03-04,171.3515
2016-03-07,171.4883
2016-03-08,169.616
2016-03-09,170.4539
2016-03-10,170.5906
2016-03-11,173.3435
2016-03-14,173.1212
2016-03-15,172.8391
2016-03-16,173.8393
2016-03-17,174.9422
2016-03-18,175.6296
2016-03-21,175.8789
2016-03-22,175.7843
2016-03-23,174.6242
2016-03-24,174.5469
2016-03-28,174.65
2016-03-29,176.2655
2016-03-30,177.0389
2016-03-31,176.6093
2016-04-01,177.8123
2016-04-04,177.2366
2016-04-05,175.4664
2016-04-06,177.3827
2016-04-07,175.2601
2016-04-08,175.7328
2016-04-11,175.3203
2016-04-12,176.953
2016-04-13,178.7404
2016-04-14,178.749
2016-04-15,178.5514
2016-04-18,179.806
2016-04-19,180.3731
2016-04-20,180.545
2016-04-21,179.574
2016-04-22,179.574
2016-04-25,179.2646
2016-04-26,179.531
2016-04-27,179.9005
2016-04-28,178.2678
2016-04-29,177.3053
2016-05-02,178.7146
2016-05-03,177.1593
2016-05-04,176.171
2016-05-05,176.1366
2016-05-06,176.7811
2016-05-09,176.9272
2016-05-10,179.1271
2016-05-11,177.4514
2016-05-12,177.503
2016-05-13,175.9562
2016-05-16,177.692
2016-05-17,176.0335
2016-05-18,176.0851
2016-05-19,175.475
2016-05-20,176.5835
2016-05-23,176.3429
2016-05-24,178.6287
2016-05-25,179.8404
2016-05-26,179.8919
2016-05-27,180.6653
2016-05-31,180.3216
2016-06-01,180.6911
2016-06-02,181.2411
2016-06-03,180.6997
2016-06-06,181.6192
2016-06-07,181.9027
2016-06-08,182.4957
2016-06-09,182.2465
2016-06-10,180.5192
2016-06-13,179.1271
2016-06-14,178.7748
2016-06-15,178.5256
2016-06-16,179.0584
2016-06-17,178.3915
2016-06-20,179.5404
2016-06-21,180.05
2016-06-22,179.7563
2016-06-23,182.0972
2016-06-24,175.5583
2016-06-27,172.414
2016-06-28,175.5237
2016-06-29,178.5124
2016-06-30,180.9484
2016-07-01,181.3284
2016-07-05,180.0241
2016-07-06,181.1038
2016-07-07,180.9915
2016-07-08,183.6866
2016-07-11,184.3344
2016-07-12,185.6733
2016-07-13,185.6474
2016-07-14,186.684
2016-07-15,186.4335
2016-07-18,186.9345
2016-07-19,186.7444
2016-07-20,187.5219
2016-07-21,186.8135
2016-07-22,187.6514
2016-07-25,187.1418
2016-07-26,187.2282
2016-07-27,187.0295
2016-07-28,187.2454
2016-07-29,187.5478
2016-08-01,187.3923
2016-08-02,186.1916
2016-08-03,186.7358
2016-08-04,186.9345
2016-08-05,188.4634
2016-08-08,188.3511
2016-08-09,188.4634
2016-08-10,187.9969
2016-08-11,188.8694
2016-08-12,188.7053
2016-08-15,189.2495
2016-08-16,188.2734
2016-08-17,188.6275
2016-08-18,189.0508
2016-08-19,188.7744
2016-08-22,188.7657
2016-08-23,189.1458
2016-08-24,188.1783
2016-08-25,188.0488
2016-08-26,187.6946
2016-08-29,188.6189
2016-08-30,188.3079
2016-08-31,187.7724
2016-09-01,187.781
2016-09-02,188.6275
2016-09-06,189.1976
2016-09-07,189.1803
2016-09-08,188.7485
2016-09-09,184.2308
2016-09-12,186.874
2016-09-13,184.1876
2016-09-14,184.1185
2016-09-15,185.9584
2016-09-16,185.2395
2016-09-19,185.2743
2016-09-20,185.283
2016-09-21,187.3665
2016-09-22,188.5472
2016-09-23,187.5141
2016-09-26,185.9948
2016-09-27,187.1495
2016-09-28,188.0784
2016-09-29,186.3768
2016-09-30,187.7833
2016-10-03,187.3318
2016-10-04,186.3768
2016-10-05,187.2016
2016-10-06,187.3318
2016-10-07,186.6894
2016-10-10,187.6617
2016-10-11,185.2916
2016-10-12,185.5347
2016-10-13,184.927
2016-10-14,185.0225
2016-10-17,184.3801
2016-10-18,185.5347
2016-10-19,186.0296
2016-10-20,185.6823
2016-10-21,185.7691
2016-10-24,186.5592
2016-10-25,185.9341
2016-10-26,185.5608
2016-10-27,185.0659
2016-10-28,184.519
2016-10-31,184.5277
2016-11-01,183.1907
2016-11-02,182.0881
2016-11-03,181.2547
2016-11-04,181.055
2016-11-07,185.0486
2016-11-08,185.882
2016-11-09,187.8527
2016-11-10,188.3215
2016-11-11,187.8874
2016-11-14,188.035
2016-11-15,189.5022
2016-11-16,189.1463
2016-11-17,190.1186
2016-11-18,189.6932
2016-11-21,191.1257
2016-11-22,191.499
2016-11-23,191.6032
2016-11-25,192.3151
2016-11-28,191.4122
2016-11-29,191.7855
2016-11-30,191.3254
2016-12-01,190.6221
2016-12-02,190.7176
2016-12-05,191.8636
2016-12-06,192.4713
2016-12-07,194.989
2016-12-08,195.4665
2016-12-09,196.6472
2016-12-12,196.4215
2016-12-13,197.7324
2016-12-14,196.1002
2016-12-15,196.9076
2016-12-16,196.5225
2016-12-19,196.9504
2016-12-20,197.7102
2016-12-21,197.16
2016-12-22,196.8194
2016-12-23,197.1076
2016-12-27,197.5966
2016-12-28,195.9636
2016-12-29,195.92
2016-12-30,195.2039
2017-01-03,196.6972
2017-01-04,197.8674
2017-01-05,197.7102
2017-01-06,198.4175
2017-01-09,197.7626
2017-01-10,197.7626
2017-01-11,198.3215
2017-01-12,197.8237
2017-01-13,198.2778
2017-01-17,197.5792
2017-01-18,198.0158
2017-01-19,197.2823
2017-01-20,198.0071
2017-01-23,197.4919
2017-01-24,198.7581
2017-01-25,200.4785
2017-01-26,200.2689
2017-01-27,199.9545
2017-01-30,198.7144
2017-01-31,198.697
2017-02-01,198.7756
2017-02-02,198.9066
2017-02-03,200.2776
2017-02-06,199.9196
2017-02-07,199.9283
2017-02-08,200.1903
2017-02-09,201.3779
2017-02-10,202.1726
2017-02-13,203.273
2017-02-14,204.0851
2017-02-15,205.1505
2017-02-16,204.9758
2017-02-17,205.299
2017-02-21,206.5216
2017-02-22,206.3382
2017-02-23,206.4779
2017-02-24,206.7399
2017-02-27,207.063
2017-02-28,206.5041
2017-03-01,209.3946
2017-03-02,208.076
2017-03-03,208.207
2017-03-06,207.587
2017-03-07,206.9669
2017-03-08,206.5827
2017-03-09,206.8447
2017-03-10,207.5695
2017-03-13,207.6743
2017-03-14,206.8796
2017-03-15,208.6698
2017-03-16,208.2594
2017-03-17,207.8936
2017-03-20,207.6656
2017-03-21,204.9993
2017-03-22,205.4817
2017-03-23,205.2624
2017-03-24,205.1133
2017-03-27,204.9028
2017-03-28,206.3938
2017-03-29,206.5868
2017-03-30,207.2446
2017-03-31,206.7622
2017-04-03,206.4026
2017-04-04,206.5342
2017-04-05,205.9202
2017-04-06,206.4991
2017-04-07,206.2886
2017-04-10,206.4114
2017-04-11,206.1658
2017-04-12,205.2624
2017-04-13,203.9292
2017-04-17,205.736
2017-04-18,205.1221
2017-04-19,204.7449
2017-04-20,206.4114
2017-04-21,205.7536
2017-04-24,208.0164
2017-04-25,209.2268
2017-04-26,209.0952
2017-04-27,209.2706
2017-04-28,208.8146
2017-05-01,209.3408
2017-05-02,209.4197
2017-05-03,209.1654
2017-05-04,209.411
2017-05-05,210.2354
2017-05-08,210.2003
2017-05-09,210.0074
2017-05-10,210.3845
2017-05-11,209.9548
2017-05-12,209.6039
2017-05-15,210.7617
2017-05-16,210.5687
2017-05-17,206.8324
2017-05-18,207.6656
2017-05-19,209.0163
2017-05-22,210.0776
2017-05-23,210.5424
2017-05-24,211.0336
2017-05-25,212.0422
2017-05-26,211.9984
2017-05-30,211.8142
2017-05-31,211.7615
2017-06-01,213.4455
2017-06-02,214.156
2017-06-05,213.9981
2017-06-06,213.314
2017-06-07,213.7087
2017-06-08,213.8139
2017-06-09,213.4894
2017-06-12,213.4455
2017-06-13,214.4893
2017-06-14,214.2174
2017-06-15,213.8051
2017-06-16,213.8518
2017-06-19,215.6322
2017-06-20,214.1779
2017-06-21,214.1251
2017-06-22,214.0281
2017-06-23,214.2837
2017-06-26,214.4247
2017-06-27,212.6973
2017-06-28,214.601
2017-06-29,212.7149
2017-06-30,213.1115
2017-07-03,213.4729
2017-07-05,213.9664
2017-07-06,212.0098
2017-07-07,213.3847
2017-07-10,213.6139
2017-07-11,213.4552
2017-07-12,215.0593
2017-07-13,215.4207
2017-07-14,216.4254
2017-07-17,216.399
2017-07-18,216.5135
2017-07-19,217.6857
2017-07-20,217.7827
2017-07-21,217.5888
2017-07-24,217.5359
2017-07-25,218.0647
2017-07-26,218.0735
2017-07-27,217.8708
2017-07-28,217.6152
2017-07-31,217.4918
2017-08-01,217.9766
2017-08-02,218.0823
2017-08-03,217.6593
2017-08-04,218.0559
2017-08-07,218.4613
2017-08-08,217.9237
2017-08-09,217.9149
2017-08-10,214.839
2017-08-11,215.1563
2017-08-14,217.2891
2017-08-15,217.2627
2017-08-16,217.6417
2017-08-17,214.2485
2017-08-18,213.9135
2017-08-21,214.081
2017-08-22,216.3196
2017-08-23,215.544
2017-08-24,215.0417
2017-08-25,215.544
2017-08-28,215.5529
2017-08-29,215.7996
2017-08-30,216.822
2017-08-31,218.1264
2017-09-01,218.4349
2017-09-05,216.8661
2017-09-06,217.6064
2017-09-07,217.58
2017-09-08,217.3244
2017-09-11,219.6423
2017-09-12,220.3827
2017-09-13,220.4884
2017-09-14,220.4179
2017-09-15,220.7147
2017-09-18,221.1841
2017-09-19,221.4055
2017-09-20,221.4852
2017-09-21,220.8918
2017-09-22,220.9361
2017-09-25,220.4844
2017-09-26,220.6172
2017-09-27,221.4764
2017-09-28,221.7421
2017-09-29,222.5215
2017-10-02,223.487
2017-10-03,223.9653
2017-10-04,224.231
2017-10-05,225.5596
2017-10-06,225.3027
2017-10-09,224.9307
2017-10-10,225.5242
2017-10-11,225.8785
2017-10-12,225.5419
2017-10-13,225.8165
2017-10-16,226.1176
2017-10-17,226.277
2017-10-18,226.4985
2017-10-19,226.5605
2017-10-20,227.7296
2017-10-23,226.8439
2017-10-24,227.2425
2017-10-25,226.1176
2017-10-26,226.4099
2017-10-27,228.2611
2017-10-30,227.4108
2017-10-31,227.7651
2017-11-01,228.0662
2017-11-02,228.1548
2017-11-03,228.9165
2017-11-06,229.2708
2017-11-07,229.1114
2017-11-08,229.5011
2017-11-09,228.6685
2017-11-10,228.5976
2017-11-13,228.8102
2017-11-14,228.2788
2017-11-15,227.1362
2017-11-16,229.0671
2017-11-17,228.3939
2017-11-20,228.7836
2017-11-21,230.2805
2017-11-22,230.0768
2017-11-24,230.6082
2017-11-27,230.4931
2017-11-28,232.8314
2017-11-29,232.6897
2017-11-30,234.7269
2017-12-01,234.2397
2017-12-04,233.9563
2017-12-05,233.1149
2017-12-06,233.1591
2017-12-07,233.8943
2017-12-08,235.1697
2017-12-11,235.8783
2017-12-12,236.2946
2017-12-13,236.268
2017-12-14,235.3026
2017-12-15,237.2621
2017-12-18,238.7666
2017-12-19,237.8496
2017-12-20,237.725
2017-12-21,238.2146
2017-12-22,238.1523
2017-12-26,237.8674
2017-12-27,237.9832
2017-12-28,238.4728
2017-12-29,237.5736
2018-01-02,239.274
2018-01-03,240.7875
2018-01-04,241.8024
2018-01-05,243.4137
2018-01-08,243.8589
2018-01-09,244.4108
2018-01-10,244.0369
2018-01-11,245.8174
2018-01-12,247.4199
2018-01-16,246.5741
2018-01-17,248.9244
2018-01-18,248.506
2018-01-19,249.6366
2018-01-22,251.6664
2018-01-23,252.2005
2018-01-24,252.1026
2018-01-25,252.2094
2018-01-26,255.1295
2018-01-29,253.438
2018-01-30,250.8385
2018-01-31,250.9631
2018-02-01,250.6782
2018-02-02,245.2209
2018-02-05,234.9652
2018-02-06,239.5945
2018-02-07,238.2948
2018-02-08,229.3566
2018-02-09,232.8019
2018-02-12,236.2205
2018-02-13,236.808
2018-02-14,240.004
2018-02-15,243.0665
2018-02-16,243.1377
2018-02-20,241.6154
2018-02-21,240.4136
2018-02-22,240.7252
2018-02-23,244.5622
2018-02-26,247.4021
2018-02-27,244.3129
2018-02-28,241.838
2018-03-01,238.3215
2018-03-02,239.55
2018-03-05,242.3187
2018-03-06,242.933
2018-03-07,242.844
2018-03-08,244.0191
2018-03-09,248.2656
2018-03-12,247.954
2018-03-13,246.3516
2018-03-14,245.0874
2018-03-15,244.8203
2018-03-16,245.0858
2018-03-19,241.7697
2018-03-20,242.1809
2018-03-21,241.7161
2018-03-22,235.6739
2018-03-23,230.6506
2018-03-26,236.961
2018-03-27,232.9298
2018-03-28,232.2416
2018-03-29,235.2091
2018-04-02,230.1322
2018-04-03,233.0818
2018-04-04,235.5755
2018-04-05,237.4347
2018-04-06,232.1433
2018-04-09,233.2874
2018-04-10,236.9967
2018-04-11,235.7543
2018-04-12,237.6939
2018-04-13,236.9967
2018-04-16,238.9452
2018-04-17,241.5016
2018-04-18,241.6803
2018-04-19,240.3396
2018-04-20,238.3017
2018-04-23,238.2659
2018-04-24,235.0571
2018-04-25,235.6381
2018-04-26,238.0335
2018-04-27,238.257
2018-04-30,236.4247
2018-05-01,236.8448
2018-05-02,235.2538
2018-05-03,234.7353
2018-05-04,237.7743
2018-05-07,238.5788
2018-05-08,238.5788
2018-05-09,240.8848
2018-05-10,243.1373
2018-05-11,243.8791
2018-05-14,243.9953
2018-05-15,242.3149
2018-05-16,243.3339
2018-05-17,243.1283
2018-05-18,242.5205
2018-05-21,244.3439
2018-05-22,243.6646
2018-05-23,244.335
2018-05-24,243.8344
2018-05-25,243.2535
2018-05-29,240.4558
2018-05-30,243.6646
2018-05-31,242.1719
2018-06-01,244.5495
2018-06-04,245.7115
2018-06-05,245.8902
2018-06-06,247.946
2018-06-07,247.9192
2018-06-08,248.6521
2018-06-11,248.9829
2018-06-12,249.3046
2018-06-13,248.5091
2018-06-14,249.1348
2018-06-15,248.817
2018-06-18,248.3052
2018-06-19,247.3535
2018-06-20,247.7755
2018-06-21,246.2222
2018-06-22,246.6711
2018-06-25,243.3132
2018-06-26,243.8519
2018-06-27,241.8318
2018-06-28,243.2145
2018-06-29,243.5646
2018-07-02,244.0854
2018-07-03,243.2235
2018-07-05,245.2077
2018-07-06,247.2817
2018-07-09,249.5083
2018-07-10,250.4061
2018-07-11,248.5746
2018-07-12,250.8281
2018-07-13,251.0256
2018-07-16,250.8012
2018-07-17,251.8157
2018-07-18,252.3455
2018-07-19,251.3938
2018-07-20,251.1064
2018-07-23,251.5733
2018-07-24,252.8393
2018-07-25,254.9941
2018-07-26,254.3925
2018-07-27,252.6687
2018-07-30,251.3489
2018-07-31,252.5879
2018-08-01,252.1659
2018-08-02,253.5396
2018-08-03,254.626
2018-08-06,255.5597
2018-08-07,256.4037
2018-08-08,256.2959
2018-08-09,255.9458
2018-08-10,254.2309
2018-08-13,253.2792
2018-08-14,254.8953
2018-08-15,252.9919
2018-08-16,255.039
2018-08-17,255.9368
2018-08-20,256.4845
2018-08-21,257.086
2018-08-22,256.9334
2018-08-23,256.5922
2018-08-24,258.1365
2018-08-27,260.1746
2018-08-28,260.3003
2018-08-29,261.7009
2018-08-30,260.6415
2018-08-31,260.6504
2018-09-04,260.2015
2018-09-05,259.5012
2018-09-06,258.7201
2018-09-07,258.2173
2018-09-10,258.6662
2018-09-11,259.5192
2018-09-12,259.582
2018-09-13,261.1173
2018-09-14,261.1622
2018-09-17,259.7795
2018-09-18,261.1891
2018-09-19,261.4675
2018-09-20,263.5864
2018-09-21,263.3455
2018-09-24,262.4707
2018-09-25,262.2272
2018-09-26,261.4425
2018-09-27,262.1731
2018-09-28,262.2001
2018-10-01,263.1111
2018-10-02,262.9577
2018-10-03,263.102
2018-10-04,261.0457
2018-10-05,259.5846
2018-10-08,259.5846
2018-10-09,259.2058
2018-10-10,250.9985
2018-10-11,245.4699
2018-10-12,248.8791
2018-10-15,247.4811
2018-10-16,252.8925
2018-10-17,252.9376
2018-10-18,249.2849
2018-10-19,249.1497
2018-10-22,248.0313
2018-10-23,246.7686
2018-10-24,239.2919
2018-10-25,243.5849
2018-10-26,239.3009
2018-10-29,237.9751
2018-10-30,241.5015
2018-10-31,244.081
2018-11-01,246.6784
2018-11-02,245.2174
2018-11-05,246.5702
2018-11-06,248.1305
2018-11-07,253.4427
2018-11-08,252.9827
2018-11-09,250.5115
2018-11-12,245.8307
2018-11-13,245.3707
2018-11-14,243.6932
2018-11-15,246.2365
2018-11-16,246.8769
2018-11-19,242.7011
2018-11-20,238.2096
2018-11-21,239.0213
2018-11-23,237.425
2018-11-26,241.258
2018-11-27,242.0697
2018-11-28,247.6435
2018-11-29,247.1023
2018-11-30,248.6085
2018-12-03,251.9004
2018-12-04,243.7383
2018-12-06,243.3685
2018-12-07,237.7136
2018-12-10,238.1645
2018-12-11,238.2186
2018-12-12,239.4182
2018-12-13,239.337
2018-12-14,234.9177
2018-12-17,230.309
2018-12-18,230.0564
2018-12-19,226.6112
2018-12-20,222.9224
2018-12-21,218.3548
2018-12-24,212.5853
2018-12-26,223.3261
2018-12-27,225.0407
2018-12-28,224.7504
2018-12-31,226.7189
2019-01-02,226.9548
2019-01-03,221.539
2019-01-04,228.9596
2019-01-07,230.7649
2019-01-08,232.933
2019-01-09,234.0216
2019-01-10,234.8471
2019-01-11,234.9378
2019-01-14,233.5045
2019-01-15,236.1807
2019-01-16,236.7522
2019-01-17,238.5484
2019-01-18,241.7234
2019-01-22,238.4576
2019-01-23,238.9566
2019-01-24,239.0836
2019-01-25,241.1066
2019-01-28,239.2741
2019-01-29,238.9566
2019-01-30,242.7395
2019-01-31,244.8713
2019-02-01,244.9892
2019-02-04,246.7128
2019-02-05,247.747
2019-02-06,247.4204
2019-02-07,245.0618
2019-02-08,245.3612
2019-02-11,245.4972
2019-02-12,248.6542
2019-02-13,249.4616
2019-02-14,248.9082
2019-02-15,251.6206
2019-02-19,252.0561
2019-02-20,252.5641
2019-02-21,251.666
2019-02-22,253.2263
2019-02-25,253.571
2019-02-26,253.3896
2019-02-27,253.2807
2019-02-28,252.809
2019-03-01,254.3875
2019-03-04,253.4622
2019-03-05,253.1174
2019-03-06,251.5843
2019-03-07,249.4797
2019-03-08,248.9808
2019-03-11,252.5913
2019-03-12,253.5438
2019-03-13,255.2221
2019-03-14,255.0588
2019-03-15,256.3189
2019-03-18,257.2483
2019-03-19,257.3121
2019-03-20,256.5376
2019-03-21,259.4351
2019-03-22,254.4419
2019-03-25,254.2506
2019-03-26,256.1458
2019-03-27,254.8064
2019-03-28,255.7722
2019-03-29,257.385
2019-04-01,260.4374
2019-04-02,260.5649
2019-04-03,260.9749
2019-04-04,261.6674
2019-04-05,262.9339
2019-04-08,263.1344
2019-04-09,261.7859
2019-04-10,262.6788
2019-04-11,262.6059
2019-04-12,264.3827
2019-04-15,264.2096
2019-04-16,264.3827
2019-04-17,263.7358
2019-04-18,264.2551
2019-04-22,264.4829
2019-04-23,266.8611
2019-04-24,266.2688
2019-04-25,266.1048
2019-04-26,267.344
2019-04-29,267.7631
2019-04-30,267.8998
2019-05-01,265.8861
2019-05-02,265.3121
2019-05-03,267.9089
2019-05-06,266.8064
2019-05-07,262.3508
2019-05-08,261.9863
2019-05-09,261.1936
2019-05-10,262.5057
2019-05-13,255.9089
2019-05-14,258.2232
2019-05-15,259.7358
2019-05-16,262.1412
2019-05-17,260.4465
2019-05-20,258.7244
2019-05-21,261.057
2019-05-22,260.2551
2019-05-23,257.0752
2019-05-24,257.6583
2019-05-28,255.262
2019-05-29,253.549
2019-05-30,254.2415
2019-05-31,250.8155
2019-06-03,250.1777
2019-06-04,255.6082
2019-06-05,257.8223
2019-06-06,259.4989
2019-06-07,262.0957
2019-06-10,263.2984
2019-06-11,263.2346
2019-06-12,262.7699
2019-06-13,263.8542
2019-06-14,263.5626
2019-06-17,263.6629
2019-06-18,266.4237
2019-06-19,267.0251
2019-06-20,269.5763
2019-06-21,269.1844
2019-06-24,268.8548
2019-06-25,266.2179
2019-06-26,265.9524
2019-06-27,266.8955
2019-06-28,268.2688
2019-07-01,270.7043
2019-07-02,271.4093
2019-07-03,273.5793
2019-07-05,273.268
2019-07-08,271.7664
2019-07-09,272.1052
2019-07-10,273.4053
2019-07-11,274.0462
2019-07-12,275.2731
2019-07-15,275.3647
2019-07-16,274.4766
2019-07-17,272.6088
2019-07-18,273.6068
2019-07-19,272.0869
2019-07-22,272.7553
2019-07-23,274.7055
2019-07-24,275.9965
2019-07-25,274.678
2019-07-26,276.5183
2019-07-29,276.0148
2019-07-30,275.3372
2019-07-31,272.3249
2019-08-01,269.9535
2019-08-02,267.9209
2019-08-05,259.8637
2019-08-06,263.5078
2019-08-07,263.6634
2019-08-08,268.8365
2019-08-09,267.0053
2019-08-12,263.755
2019-08-13,267.8568
2019-08-14,259.937
2019-08-15,260.6236
2019-08-16,264.4691
2019-08-19,267.6554
2019-08-20,265.6045
2019-08-21,267.7653
2019-08-22,267.6829
2019-08-23,260.8068
2019-08-26,263.6909
2019-08-27,262.6563
2019-08-28,264.5058
2019-08-29,267.8843
2019-08-30,267.7653
2019-09-03,266.1996
2019-09-04,269.2211
2019-09-05,272.682
2019-09-06,272.8926
2019-09-09,273.0299
2019-09-10,272.9658
2019-09-11,274.9069
2019-09-12,275.8591
2019-09-13,275.676
2019-09-16,274.8245
2019-09-17,275.5203
2019-09-18,275.6852
2019-09-19,275.6668
2019-09-20,274.3644
2019-09-23,274.3
2019-09-24,272.1476
2019-09-25,273.7573
2019-09-26,273.187
2019-09-27,271.7153
2019-09-30,272.9754
2019-10-01,269.7285
2019-10-02,264.9638
2019-10-03,267.1346
2019-10-04,270.7495
2019-10-07,269.5813
2019-10-08,265.3961
2019-10-09,267.9164
2019-10-10,269.7285
2019-10-11,272.5247
2019-10-14,272.2212
2019-10-15,274.9163
2019-10-16,274.4748
2019-10-17,275.2842
2019-10-18,274.0792
2019-10-21,275.9373
2019-10-22,275.0358
2019-10-23,275.8361
2019-10-24,276.2868
2019-10-25,277.4182
2019-10-28,278.9819
2019-10-29,278.8991
2019-10-30,279.7545
2019-10-31,279.0095
2019-11-01,281.5942
2019-11-04,282.7256
2019-11-05,282.4128
2019-11-06,282.4772
2019-11-07,283.4706
2019-11-08,284.1697
2019-11-11,283.627
2019-11-12,284.2249
2019-11-13,284.3168
2019-11-14,284.7308
2019-11-15,286.7912
2019-11-18,287.0027
2019-11-19,286.9199
2019-11-20,285.8529
2019-11-21,285.393
2019-11-22,286.0277
2019-11-25,288.2445
2019-11-26,288.8976
2019-11-27,290.1853
2019-11-29,289.1091
2019-12-02,286.6532
2019-12-03,284.7308
2019-12-04,286.4876
2019-12-05,287.0027
2019-12-06,289.6242
2019-12-09,288.7136
2019-12-10,288.3917
2019-12-11,289.2103
2019-12-12,291.703
2019-12-13,291.8778
2019-12-16,293.883
2019-12-17,293.9474
2019-12-18,293.9658
2019-12-19,295.1707
2019-12-20,296.4648
2019-12-23,296.9178
2019-12-24,296.927
2019-12-26,298.5076
2019-12-27,298.4337
2019-12-30,296.7883
